10/24/2020,Nazwa,Nazwa potoczna,Oznaczenie,,
238,e579,glukonian żelazawy,Niebezpieczny,,
239,e585,mleczan żelazawy,Nieszkodliwy,,
240,e620,kwas glutaminowy,Podejrzany,,
241,e621,glutaminian monosodowy,Niebezpieczny,,
242,e622,glutaminian monopotasowy,Niebezpieczny,,
243,e623,diglutaminian wapnia,Podejrzany,,
244,e624,glutaminian monoamonowy,Podejrzany,,
245,e625,diglutaminian magnezu,Nieszkodliwy,,
246,e626,kwas guanylowy,Nieszkodliwy,,
247,e628,guanylan dipotasowy,Zalecana ostrożność,,
248,e629,guanylan wapnia,Zalecana ostrożność,,
249,e630,kwas linozynowy,Nieszkodliwy,,
250,e631,inozynian disodowy,Podejrzany,,
251,e632,inozynian dipotasowy,Zalecana ostrożność,,
252,e633,inozynian wapnia,Zalecana ostrożność,,
253,e634,5’rybonukleotyd wapnia,Niebezpieczny,,
254,e635,5’rybonukleotyd disodowy,Niebezpieczny,,
255,e640,glicyna i jej sól sodowa,Nieszkodliwy,,
256,e650,octan cynku,Nieszkodliwy,,
257,e900,dimetylopolisiloksan,Podejrzany,,
258,e901,wosk pszczeli biały i żółty,Nieszkodliwy,,
259,e902,wosk candelilla,Zalecana ostrożność,,
260,e903,wosk karnauba,Zalecana ostrożność,,
261,e904,szelak,Zalecana ostrożność,,
262,e905,"wosk mikrokrystaliczny, wosk naftowy",Nieszkodliwy,,
263,e914,utleniony wosk polietylenowy,Podejrzany,,
264,e920,L-cysteina,Nieszkodliwy,,
265,e927b,karbamid,Zalecana ostrożność,,
266,e950,acesulfam K,Niebezpieczny,,
267,e951,aspartam,Niebezpieczny,,
268,e952,kwas cyklaminowy,Niebezpieczny,,
269,e953,izomaltoza,Zalecana ostrożność,,
270,e954,sacharyna,Niebezpieczny,,
271,e955,sukraloza,Podejrzany,,
272,e957,taumatyna,Zalecana ostrożność,,
273,e959,neohesperydyna DC,Nieszkodliwy,,
274,e962,sól aspartamu-acesulfamu,Niebezpieczny,,
275,e965,maltitol,Nieszkodliwy,,
276,e966,laktitol,Nieszkodliwy,,
277,e967,ksylitol,Nieszkodliwy,,
278,e1103,inwertaza,Podejrzany,,
279,e1105,lizozym,Podejrzany,,
280,e1200,polidekstroza,Nieszkodliwy,,
281,e1201,poliwinylopirolidon PVP,Niebezpieczny,,
282,e1202,poliwinylopirolidon (syntetyczny),Niebezpieczny,,
283,e1404,skrobia utleniona,Podejrzany,,
284,e1410,fosforan monoskrobiowy,Podejrzany,,
285,e1412,fosforan diskrobiowy,Podejrzany,,
286,e1413,fosforowany fosforan diskrobiowy,Podejrzany,,
287,e1414,acetylowany fosforan diskrobiowy,Podejrzany,,
288,e1420,acetylowana skrobia,Podejrzany,,
289,e1422,acetylowany adypinian diskrobiowy,Podejrzany,,
290,e1440,hydroksypropyloskrobia,Podejrzany,,
291,e1442,hydroksypropylofosforan diskrobiowy,Podejrzany,,
292,e1450,sól sodowa oktenylobursztynianu skrobiowego,Podejrzany,,
293,e1451,acetylowana skrobia utleniona,Podejrzany,,
294,e1518,trioctan glicerolu,Podejrzany,,
295,e1520,"glikol 1,2-propylenowy",Niebezpieczny,,
296,sok pomarańczowy z zagęszczonego soku pomarańczowego,Sok pomarańczowy z zagęszczonego soku pomarańczowego,Nieszkodliwy,,
297,woda,Woda,Nieszkodliwy,,
298,cukier,Cukier,Zalecana ostrożność,,
299,sól,Sól,Nieszkodliwy,,
300,migdały,Orzechy migdałowca,Nieszkodliwy (alergen),,
301,sól morska,Sól która jest pozyskiwana z wody morskiej,Nieszkodliwy,,
302,olej rzepakowy,Olej tłoczony z rzepaku,Nieszkodliwy (alergen),,
303,mąka pszenna,Mąka wytwarzana ze zbóż pszenicy,Nieszkodliwy (alergen),,
304,naturalny zakwas żytni,Zakwas wytwarzany na podstawie żyta,Nieszkodliwy (alergen),,
305,drożdże,Drożdże,Nieszkodliwy,,
306,ekstrakt ze słodu jęczmiennego,Ekstrat pozyskiwany ze słodu wytwarzanego z jęczmienia,Nieszkodliwy (alergen),,
307,mąka żytnia,Mąka wytwarzana ze zbóż żyta,Nieszkodliwy (alergen),,
308,gluten pszenny,Dodatek do żywności w postaci oddzielonego glutenu,Nieszkodliwy (alergen),,
309,ekspandowane ziarno pszenicy,Ziarna pszenicy,Nieszkodliwy (alergen),,
310,melasa buraczana,Melasa buraczana,Nieszkodliwy,,
311,sok z czarnych porzeczek z zagęszczonego soku,Sok z czarnych porzeczek z zagęszczonego soku,Nieszkodliwy,,
312,sok jabłkowy z zagęszczonego soku jabłkowego,Sok jabłkowy z zagęszczonego soku jabłkowego,Nieszkodliwy,,
313,krem kokosowy z wodą,Krem wykonany z kokosa z dodatkiem wody,Nieszkodliwy,,
314,ryż,Ryż,Nieszkodliwy,,
315,wapń,Budulec ludzkich kości,Nieszkodliwy,,
316,truskawki,Truskawki,Nieszkodliwy (alergen),,
317,oliwki,Oliwki,Nieszkodliwy (alergen),,
318,oliwki czarne,Oliwki czarne,Nieszkodliwy (alergen),,
319,oliwki zielone,Oliwki zielone,Nieszkodliwy (alergen),,
320,mieszanka herbat czarnych,Mieszanka herbat czarnych,Nieszkodliwy,,
321,aromat bergamotowy,Aromat bergamotowy,Nieszkodliwy,,
322,płatki zbożowe pełnoziarniste,Płatki zbożowe pochodzące z róznych gatunków zbóż,Nieszkodliwy (alergen),,
323,rodzynki sułtańskie,Rodzynki sułtańskie,Nieszkodliwy (alergen),,
324,chipsy bananowe,Suszone banany,Nieszkodliwy,,
325,banany,Banan,Nieszkodliwy,,
326,olej kokosowy,Olej wytwarzany z kokosa,Nieszkodliwy,,
327,morele,Morele,Nieszkodliwy,,
328,gruszki,Gruszki,Nieszkodliwy,,
329,brzoskwinie,Brzoskwinie,Nieszkodliwy,,
330,daktyle,Daktyle,Nieszkodliwy,,
331,figi,Figi,Nieszkodliwy,,
332,jabłka,Jabłka,Nieszkodliwy,,
333,śliwki,Śliwki,Nieszkodliwy,,
334,płatki kukurydziane,Płatki kukurydziane,Nieszkodliwy,,
335,siemię lniane,Siemię lniane,Nieszkodliwy,,
336,nasiona słonecznika,Nasiona słonecznika,Nieszkodliwy,,
337,orzechy laskowe,Orzechy leszczyny,Nieszkodliwy (alergen),,
338,kasza gryczna,Kasza z gryki,Nieszkodliwy (alergen),,
339,kukurydza,Kukurydza,Nieszkodliwy,,
340,kawa mielona,Kawa mielona,Nieszkodliwy,,
